index,Austria,Belgium,Bulgaria,Czechia,Denmark,Finland,France,Germany,Ireland,Italy,Poland,Portugal,Romania,Spain
2020-03-13,1,4,2,0,1,0,102,9,2,1441,3,0,0,195
2020-03-14,1,4,2,0,2,0,125,11,2,1809,3,0,0,289
2020-03-15,3,5,2,0,3,0,148,17,2,2158,4,0,0,342
2020-03-16,3,10,2,0,4,0,179,24,2,2503,5,1,0,533
2020-03-17,4,14,2,0,4,0,210,28,2,2978,5,2,0,623
2020-03-18,6,21,3,0,6,0,243,44,3,3405,5,3,0,830
2020-03-19,6,37,3,0,9,0,450,67,3,4032,5,6,0,1043
2020-03-20,8,67,3,0,13,1,562,84,3,4825,5,12,0,1375
2020-03-21,16,75,3,1,13,1,674,94,4,5476,7,14,3,1772
2020-03-22,21,88,3,1,24,1,860,123,6,6077,8,23,7,2311
2020-03-23,28,122,3,3,32,1,1100,157,7,6820,10,33,11,2808
2020-03-24,30,178,3,6,34,3,1331,206,9,7503,14,43,17,3647
2020-03-25,49,220,3,9,41,5,1696,267,19,8215,16,60,23,4365
2020-03-26,58,289,3,9,52,7,1995,342,22,9134,16,76,26,5138
2020-03-27,68,353,7,11,65,9,2314,433,36,10023,18,100,37,5982
2020-03-28,86,431,8,16,72,11,2606,533,46,10779,22,119,43,6803
2020-03-29,108,513,8,23,77,13,3024,645,54,11591,31,140,65,7716
2020-03-30,128,705,8,31,90,17,3523,775,71,12428,33,160,82,8464
2020-03-31,146,828,10,39,104,17,4403,920,85,13155,43,187,92,9387
2020-04-01,158,1011,10,44,123,19,5387,1107,98,13915,57,209,115,10348
2020-04-02,168,1143,14,53,139,20,6507,1275,120,14681,71,246,133,11198
2020-04-03,186,1283,17,59,161,25,7560,1444,137,15362,79,266,146,11947
2020-04-04,204,1447,20,67,179,28,8078,1584,158,15887,94,295,151,12641
2020-04-05,220,1632,22,78,187,31,8911,1810,174,16523,107,311,176,13341
2020-04-06,243,2035,23,88,203,34,10328,2016,210,17127,129,345,197,14045
2020-04-07,273,2240,24,99,218,40,10869,2349,235,17669,159,380,220,14792
2020-04-08,295,2523,24,112,237,42,12210,2607,263,18279,174,409,248,15447
2020-04-09,319,3019,25,119,247,48,13197,2745,287,18849,181,435,270,16081
2020-04-10,337,3346,28,129,260,49,13832,2883,320,19468,208,470,291,16606
2020-04-11,350,3600,29,138,273,56,14393,3022,334,19899,232,504,316,17209
2020-04-12,368,3903,32,143,285,59,14967,3194,365,20465,245,535,331,17756
2020-04-13,384,4157,35,161,299,64,15712,3294,406,21067,263,567,351,18056
2020-04-14,393,4440,36,166,309,72,17148,3804,444,21645,286,599,372,18708
2020-04-15,410,4857,38,169,321,75,17901,4052,486,22170,314,629,392,19315
2020-04-16,431,5163,41,173,336,82,18661,4352,530,22745,332,657,411,20002
2020-04-17,443,5453,41,181,346,90,19303,4459,571,23227,347,687,421,20043
2020-04-18,452,5683,42,186,355,94,19694,4586,610,23660,360,714,451,20453
2020-04-19,470,5828,43,194,364,98,20240,4862,687,24114,380,735,478,20852
2020-04-20,491,5998,45,201,370,141,20765,5033,730,24648,401,762,498,21282
2020-04-21,510,6262,49,208,384,149,21309,5279,769,25085,426,785,524,21717
2020-04-22,522,6490,52,210,394,172,21825,5575,794,25549,454,820,545,22157
2020-04-23,530,6679,54,214,403,177,22214,5760,1014,25969,494,854,567,22524
2020-04-24,536,6917,55,218,418,186,22583,5877,1063,26384,524,880,601,22902
2020-04-25,542,7094,56,220,422,190,22825,5976,1087,26644,535,903,619,23190
2020-04-26,549,7207,58,223,427,193,23262,6126,1102,26977,562,928,641,23521
2020-04-27,569,7331,58,227,434,199,23629,6314,1159,27359,596,948,663,23822
2020-04-28,580,7501,64,227,443,206,24056,6467,1190,27682,624,973,693,24275
2020-04-29,584,7594,66,236,452,211,24345,6623,1232,27967,644,989,717,24550
2020-04-30,589,7703,68,240,460,218,24563,6736,1265,28236,651,1007,744,24825
2020-05-01,596,7765,72,245,475,220,24729,6812,1286,28710,664,1023,771,25100
2020-05-02,598,7844,73,248,484,230,24864,6866,1303,28884,678,1043,790,25264
2020-05-03,600,7924,78,252,493,240,25168,7002,1319,29079,698,1063,818,25428
2020-05-04,606,8016,80,257,503,246,25498,7138,1339,29315,716,1074,841,25613
2020-05-05,608,8339,84,262,506,252,25772,7275,1375,29684,733,1089,864,25857
2020-05-06,609,8415,84,270,514,255,25949,7392,1403,29958,755,1105,888,26070
2020-05-07,614,8521,86,273,522,260,26192,7510,1429,30201,776,1114,923,26299
2020-05-08,615,8581,90,276,526,265,26271,7549,1446,30395,785,1126,939,26478
2020-05-09,618,8656,91,280,529,267,26341,7569,1458,30560,800,1135,961,26621
2020-05-10,620,8707,93,282,530,271,26604,7661,1467,30739,811,1144,982,26744
2020-05-11,623,8761,95,283,531,275,26951,7738,1488,30911,839,1163,1002,26920
2020-05-12,624,8843,96,290,533,284,27032,7861,1497,31106,861,1175,1036,27104
2020-05-13,626,8903,99,293,537,287,27381,7884,1506,31368,883,1184,1053,27321
2020-05-14,628,8959,102,295,537,293,27608,7897,1518,31610,907,1190,1070,27335
2020-05-15,629,9005,105,296,543,297,27835,7938,1533,31763,915,1203,1094,27343
2020-05-16,629,9052,108,298,547,298,28062,7962,1543,31908,925,1218,1107,27343
2020-05-17,629,9080,110,300,548,300,28069,8003,1547,32007,936,1231,1120,27343
2020-05-18,632,9108,112,302,551,301,28076,8081,1561,32169,948,1247,1137,27343
2020-05-19,633,9150,116,304,554,304,28084,8144,1571,32330,962,1263,1147,27343
2020-05-20,633,9186,120,306,561,306,28167,8203,1583,32486,972,1277,1156,27343
2020-05-21,635,9212,125,312,561,306,28241,8228,1592,32616,982,1289,1166,27343
2020-05-22,639,9237,126,314,561,306,28284,8261,1604,32735,993,1302,1176,27343
2020-05-23,640,9280,130,315,562,307,28317,8283,1607,32785,996,1316,1185,27343
2020-05-24,641,9312,130,317,563,308,28407,8309,1610,32877,1007,1330,1205,27343
2020-05-25,643,9334,130,317,563,312,28480,8372,1615,32955,1024,1342,1216,27343
2020-05-26,645,9364,133,317,565,313,28546,8428,1631,33072,1028,1356,1227,27343
2020-05-27,668,9388,134,319,568,313,28611,8470,1639,33142,1038,1369,1235,27343
2020-05-28,668,9430,136,319,568,314,28663,8504,1645,33229,1051,1383,1248,27343
2020-05-29,668,9453,139,319,571,316,28720,8530,1651,33340,1061,1396,1259,27343
2020-05-30,668,9467,140,320,574,317,28751,8540,1653,33415,1064,1410,1266,27343
2020-05-31,668,9486,140,321,576,318,28779,8555,1655,33475,1074,1424,1276,27343
2020-06-01,669,9505,144,323,580,320,28886,8563,1658,33530,1092,1436,1288,27343
2020-06-02,670,9522,146,325,580,321,28967,8602,1659,33601,1115,1447,1296,27343
2020-06-03,670,9548,147,326,582,322,29010,8635,1664,33689,1117,1455,1305,27343
2020-06-04,672,9566,159,327,586,322,29056,8658,1670,33774,1137,1465,1316,27343
2020-06-05,672,9580,160,327,587,322,29087,8673,1678,33846,1153,1474,1322,27343
2020-06-06,672,9595,160,327,589,323,29100,8685,1679,33899,1157,1479,1333,27343
2020-06-07,672,9606,164,328,593,323,29153,8695,1683,33964,1166,1485,1339,27343
2020-06-08,672,9619,167,328,593,324,29237,8736,1691,34043,1183,1492,1354,27343
2020-06-09,673,9629,167,328,593,324,29260,8752,1695,34114,1206,1497,1360,27343
2020-06-10,674,9636,168,328,593,325,29287,8772,1703,34167,1215,1504,1369,27343
2020-06-11,675,9646,172,328,594,325,29315,8783,1705,34223,1222,1505,1380,27343
2020-06-12,677,9650,172,328,597,325,29339,8793,1705,34301,1237,1512,1394,27347
2020-06-13,677,9655,174,329,597,326,29346,8801,1706,34345,1247,1517,1410,27351
2020-06-14,678,9661,176,330,598,326,29375,8807,1706,34371,1256,1520,1427,27364
2020-06-15,681,9663,181,331,598,326,29484,8820,1709,34405,1272,1522,1437,27406
2020-06-16,687,9675,184,333,598,326,29512,8851,1710,34448,1286,1523,1451,27534
2020-06-17,688,9683,190,334,600,326,29540,8875,1714,34514,1316,1524,1473,27924
2020-06-18,688,9695,193,335,600,326,29554,8887,1714,34561,1334,1527,1484,28315
2020-06-19,688,9696,199,336,600,326,29568,8895,1715,34610,1346,1528,1500,28322
2020-06-20,690,9696,199,336,600,326,29574,8895,1715,34634,1356,1530,1512,28323
2020-06-21,690,9696,207,336,602,327,29595,8899,1717,34657,1359,1534,1523,28324
2020-06-22,693,9713,208,339,603,327,29652,8914,1720,34664,1375,1540,1539,28325
2020-06-23,693,9722,209,343,603,327,29661,8928,1726,34671,1396,1543,1555,28327
2020-06-24,698,9726,211,345,603,327,29680,8940,1727,34678,1412,1549,1565,28330
2020-06-25,698,9731,215,349,604,328,29688,8965,1730,34708,1429,1555,1579,28338
2020-06-26,700,9732,216,349,604,328,29696,8968,1734,34716,1435,1561,1589,28341
2020-06-27,702,9732,219,349,604,328,29704,8968,1735,34738,1438,1564,1612,28343
2020-06-28,703,9732,223,349,605,328,29736,8976,1735,34744,1444,1568,1634,28346
2020-06-29,705,9747,230,349,605,328,29763,8990,1736,34767,1463,1576,1651,28355
2020-06-30,705,9754,232,349,606,328,29780,8995,1738,34788,1477,1579,1667,28364
2020-07-01,705,9761,232,350,606,328,29794,9006,1738,34818,1492,1587,1687,28368
2020-07-02,705,9765,239,351,606,329,29812,9010,1740,34833,1507,1598,1708,28385
2020-07-03,705,9771,241,352,606,329,29812,9020,1741,34854,1512,1605,1731,28385
2020-07-04,706,9771,246,352,606,329,29813,9024,1741,34861,1517,1614,1750,28385
2020-07-05,706,9774,250,352,607,329,29824,9028,1741,34869,1521,1620,1768,28388
2020-07-06,706,9774,254,352,609,329,29835,9032,1741,34899,1528,1629,1799,28392
2020-07-07,706,9776,259,352,609,329,29847,9046,1741,34914,1542,1631,1817,28396
